run_id,metric_kind,best_metric,best_epoch,ckpt_path,model,backbone,features,epochs,batch_size,lr,weight_decay,mse_weight_start,mse_weight_epochs,mse_space,val_split,grad_clip,workers,seed,hidden_classes_cnt,meta_dim,color_space,pred_activation,activation_eps,meta_encoder,meta_model_name,meta_layers,meta_text_template,lr_auto,lr_schedule,optim
df17f4aeaa62,val,2.350059424677202,59,./checkpoints/sweep/huge_report/adam_optim/no_background/film__smallcnn__image+meta__all__layersnone__s101/film_smallcnn_e059_de002.3501.pt,film,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,5.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
8a624d451baf,val,2.350059424677202,69,./checkpoints/sweep/huge_report/adam_optim/no_background/film__smallcnn__image+meta__all__layersnone__s101/final_summary.json,film,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
a64c3ff714d4,val,2.3756771010737263,43,./checkpoints/sweep/huge_report/adam_optim/no_background/late__smallcnn__image+meta__all__layersnone__s101/late_smallcnn_e043_de002.3757.pt,late,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,5.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
fd531b7dc701,val,2.3756771010737263,59,./checkpoints/sweep/huge_report/adam_optim/no_background/late__smallcnn__image+meta__all__layersnone__s101/final_summary.json,late,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
621dc181504e,val,2.38812897282262,59,./checkpoints/sweep/huge_report/adam_optim/no_background/xattn__smallcnn__image+meta__all__layersnone__s101/last.pt,xattn,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,5.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
65213612a5d9,val,2.3887517144603114,59,./checkpoints/sweep/huge_report/adam_optim/no_background/xattn__smallcnn__image+meta__all__layersnone__s101/final_summary.json,xattn,smallcnn,image+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
daf09ed41315,val,3.4703128568587767,47,./checkpoints/sweep/huge_report/adam_optim/no_background/film__smallcnn__image__all__layersnone__s101/film_smallcnn_e047_de003.4703.pt,film,smallcnn,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,0.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
40c8927e7d41,val,3.4703128568587767,59,./checkpoints/sweep/huge_report/adam_optim/no_background/film__smallcnn__image__all__layersnone__s101/final_summary.json,film,smallcnn,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
9a5dbd0e2d19,val,3.4925536801738124,67,./checkpoints/sweep/huge_report/adam_optim/no_background/late__smallcnn__image__all__layersnone__s101/late_smallcnn_e067_de003.4926.pt,late,smallcnn,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,0.0,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
1338700c16f1,val,3.4925536801738124,77,./checkpoints/sweep/huge_report/adam_optim/no_background/late__smallcnn__image__all__layersnone__s101/final_summary.json,late,smallcnn,image,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0.0,101.0,0.0,,rgb,sigmoid_eps,0.001,none,jhu-clsp/ettin-encoder-17m,"-1,-2,-3,-4",compact,False,cosine,adamw
